timestamp	open	high	low	close	volume	oi
2025-08-29T15:29:00+05:30	1355.1	1356.0	1353.0	1356.0	66000	0
2025-08-29T15:28:00+05:30	1355.4	1356.8	1354.0	1355.1	115006	0
2025-08-29T15:27:00+05:30	1354.8	1355.5	1354.5	1355.5	86435	0
2025-08-29T15:26:00+05:30	1353.0	1355.3	1352.3	1354.8	210910	0
2025-08-29T15:25:00+05:30	1350.8	1353.5	1350.8	1353.0	91423	0
2025-08-29T15:24:00+05:30	1350.7	1352.0	1350.0	1351.0	190329	0
2025-08-29T15:23:00+05:30	1352.1	1352.3	1350.0	1350.7	227247	0
2025-08-29T15:22:00+05:30	1353.6	1354.1	1351.8	1352.2	263887	0
2025-08-29T15:21:00+05:30	1352.9	1354.1	1352.4	1353.6	162642	0
2025-08-29T15:20:00+05:30	1352.8	1353.2	1352.1	1352.9	173440	0
2025-08-29T15:19:00+05:30	1355.0	1355.0	1352.2	1352.7	96232	0
2025-08-29T15:18:00+05:30	1355.1	1356.7	1354.5	1355.0	238717	0
2025-08-29T15:17:00+05:30	1357.0	1357.2	1355.0	1355.2	147985	0
2025-08-29T15:16:00+05:30	1358.7	1359.0	1356.8	1357.0	102489	0
2025-08-29T15:15:00+05:30	1356.5	1359.0	1356.5	1358.9	135956	0
2025-08-29T15:14:00+05:30	1356.6	1356.9	1355.6	1356.6	143302	0
2025-08-29T15:13:00+05:30	1356.8	1357.7	1356.1	1356.6	109206	0
2025-08-29T15:12:00+05:30	1358.5	1358.6	1356.0	1356.6	146157	0
2025-08-29T15:11:00+05:30	1359.5	1360.5	1358.0	1358.5	115332	0
2025-08-29T15:10:00+05:30	1360.3	1360.9	1357.1	1359.5	167991	0
2025-08-29T15:09:00+05:30	1361.4	1361.4	1360.0	1360.0	118418	0
2025-08-29T15:08:00+05:30	1361.0	1361.5	1360.6	1361.4	94215	0
2025-08-29T15:07:00+05:30	1360.5	1361.3	1359.0	1360.8	212358	0
2025-08-29T15:06:00+05:30	1360.8	1361.6	1360.1	1360.2	96071	0
2025-08-29T15:05:00+05:30	1362.4	1362.5	1360.1	1360.8	142178	0
2025-08-29T15:04:00+05:30	1362.5	1365.0	1362.0	1362.4	124517	0
2025-08-29T15:03:00+05:30	1363.0	1363.1	1362.3	1362.5	146541	0
2025-08-29T15:02:00+05:30	1363.2	1363.8	1362.0	1363.1	101168	0
2025-08-29T15:01:00+05:30	1363.1	1364.4	1361.6	1363.0	178740	0
2025-08-29T15:00:00+05:30	1366.3	1366.4	1362.5	1363.1	188642	0
2025-08-29T14:59:00+05:30	1367.0	1367.5	1366.0	1366.4	145546	0
2025-08-29T14:58:00+05:30	1365.6	1367.0	1365.0	1367.0	148676	0
2025-08-29T14:57:00+05:30	1366.0	1366.1	1364.2	1365.5	58580	0
2025-08-29T14:56:00+05:30	1364.5	1366.9	1364.0	1366.0	131867	0
2025-08-29T14:55:00+05:30	1362.2	1366.0	1361.5	1365.0	90751	0
2025-08-29T14:54:00+05:30	1360.5	1362.0	1360.0	1362.0	52782	0
2025-08-29T14:53:00+05:30	1358.1	1361.5	1358.0	1360.5	72043	0
2025-08-29T14:52:00+05:30	1357.6	1359.8	1356.0	1358.1	105976	0
2025-08-29T14:51:00+05:30	1361.2	1361.8	1357.3	1357.6	162484	0
2025-08-29T14:50:00+05:30	1363.5	1364.5	1360.6	1361.1	97337	0
2025-08-29T14:49:00+05:30	1362.0	1363.9	1360.2	1363.7	75506	0
2025-08-29T14:48:00+05:30	1364.6	1367.9	1361.5	1361.8	154263	0
2025-08-29T14:47:00+05:30	1363.5	1366.4	1363.4	1364.9	135687	0
2025-08-29T14:46:00+05:30	1359.9	1365.7	1359.3	1363.5	193853	0
2025-08-29T14:45:00+05:30	1357.0	1360.9	1356.0	1359.9	157326	0
2025-08-29T14:44:00+05:30	1353.9	1357.7	1353.5	1357.2	83310	0
2025-08-29T14:43:00+05:30	1355.8	1356.5	1350.0	1354.2	233870	0
2025-08-29T14:42:00+05:30	1358.6	1358.7	1355.7	1356.2	99848	0
2025-08-29T14:41:00+05:30	1358.5	1360.0	1358.0	1358.6	108159	0
2025-08-29T14:40:00+05:30	1359.0	1359.9	1357.5	1359.0	98453	0
2025-08-29T14:39:00+05:30	1361.3	1362.3	1356.4	1359.2	136127	0
2025-08-29T14:38:00+05:30	1363.5	1363.7	1359.1	1361.3	198601	0
2025-08-29T14:37:00+05:30	1365.8	1366.6	1363.0	1363.7	64994	0
2025-08-29T14:36:00+05:30	1366.2	1366.8	1363.3	1365.7	132393	0
2025-08-29T14:35:00+05:30	1367.1	1367.4	1365.4	1366.2	73595	0
2025-08-29T14:34:00+05:30	1366.2	1370.8	1366.0	1367.1	124477	0
2025-08-29T14:33:00+05:30	1365.5	1369.4	1362.8	1366.0	114468	0
2025-08-29T14:32:00+05:30	1366.0	1368.1	1365.4	1365.5	82114	0
2025-08-29T14:31:00+05:30	1367.9	1368.0	1363.7	1366.3	107628	0
2025-08-29T14:30:00+05:30	1368.4	1372.0	1366.1	1367.9	130200	0
2025-08-29T14:29:00+05:30	1369.6	1370.6	1363.3	1368.4	235729	0
2025-08-29T14:28:00+05:30	1372.2	1373.7	1368.2	1369.4	142574	0
2025-08-29T14:27:00+05:30	1364.4	1374.4	1361.2	1372.3	401977	0
2025-08-29T14:26:00+05:30	1384.4	1384.6	1363.6	1364.6	603957	0
2025-08-29T14:25:00+05:30	1388.7	1389.8	1384.0	1384.4	165785	0
2025-08-29T14:24:00+05:30	1391.6	1392.0	1386.2	1388.9	201165	0
2025-08-29T14:23:00+05:30	1396.0	1396.6	1391.3	1392.0	206104	0
2025-08-29T14:22:00+05:30	1399.1	1399.5	1393.1	1396.4	280622	0
2025-08-29T14:21:00+05:30	1388.2	1403.5	1388.1	1399.2	760205	0
2025-08-29T14:20:00+05:30	1387.8	1388.2	1387.7	1388.1	54040	0
2025-08-29T14:19:00+05:30	1388.0	1388.0	1387.7	1387.8	24209	0
2025-08-29T14:18:00+05:30	1387.8	1388.0	1387.4	1388.0	20635	0
2025-08-29T14:17:00+05:30	1387.8	1388.0	1387.3	1387.9	26162	0
2025-08-29T14:16:00+05:30	1387.6	1388.0	1387.0	1388.0	34454	0
2025-08-29T14:15:00+05:30	1387.8	1388.1	1387.5	1387.6	43491	0
2025-08-29T14:14:00+05:30	1388.0	1388.8	1387.7	1388.0	90971	0
2025-08-29T14:13:00+05:30	1387.9	1388.0	1387.7	1388.0	40936	0
2025-08-29T14:12:00+05:30	1387.5	1388.1	1387.3	1387.9	26530	0
2025-08-29T14:11:00+05:30	1387.9	1388.0	1387.0	1387.2	82656	0
2025-08-29T14:10:00+05:30	1388.2	1388.2	1387.6	1387.9	34002	0
2025-08-29T14:09:00+05:30	1387.4	1388.3	1387.1	1388.3	133063	0
2025-08-29T14:08:00+05:30	1386.9	1387.5	1386.6	1387.5	43312	0
2025-08-29T14:07:00+05:30	1386.6	1387.0	1385.8	1387.0	90837	0
2025-08-29T14:06:00+05:30	1385.4	1386.7	1384.7	1386.5	56099	0
2025-08-29T14:05:00+05:30	1385.7	1386.3	1385.4	1385.4	19287	0
2025-08-29T14:04:00+05:30	1387.0	1387.0	1385.2	1385.7	62290	0
2025-08-29T14:03:00+05:30	1386.0	1387.0	1385.0	1387.0	86658	0
2025-08-29T14:02:00+05:30	1385.8	1386.0	1385.7	1385.7	31879	0
2025-08-29T14:01:00+05:30	1385.9	1386.0	1384.9	1385.8	63594	0
2025-08-29T14:00:00+05:30	1386.0	1386.2	1385.6	1386.0	23200	0
2025-08-29T13:59:00+05:30	1386.3	1387.0	1385.8	1386.0	35526	0
2025-08-29T13:58:00+05:30	1386.3	1386.7	1385.7	1386.4	26478	0
2025-08-29T13:57:00+05:30	1387.1	1387.2	1385.6	1386.3	49919	0
2025-08-29T13:56:00+05:30	1387.4	1387.4	1387.0	1387.2	20196	0
2025-08-29T13:55:00+05:30	1387.7	1387.9	1387.0	1387.4	10896	0
2025-08-29T13:54:00+05:30	1387.3	1388.0	1386.4	1387.3	32581	0
2025-08-29T13:53:00+05:30	1388.4	1388.5	1386.6	1387.2	32151	0
2025-08-29T13:52:00+05:30	1387.0	1389.0	1387.0	1388.5	82095	0
2025-08-29T13:51:00+05:30	1386.6	1387.4	1386.0	1387.4	21919	0
2025-08-29T13:50:00+05:30	1386.4	1386.7	1386.0	1386.3	11267	0
2025-08-29T13:49:00+05:30	1385.6	1386.4	1385.5	1386.4	9100	0
2025-08-29T13:48:00+05:30	1384.9	1385.6	1384.6	1385.6	6970	0
2025-08-29T13:47:00+05:30	1385.8	1385.9	1384.4	1384.9	20446	0
2025-08-29T13:46:00+05:30	1385.9	1385.9	1385.3	1385.8	6116	0
2025-08-29T13:45:00+05:30	1385.9	1386.9	1385.0	1385.9	46309	0
2025-08-29T13:44:00+05:30	1386.2	1386.2	1385.2	1385.9	11447	0
2025-08-29T13:43:00+05:30	1386.4	1386.4	1386.0	1386.2	6428	0
2025-08-29T13:42:00+05:30	1387.2	1387.4	1386.2	1386.2	20996	0
2025-08-29T13:41:00+05:30	1387.7	1387.8	1387.0	1387.2	10520	0
2025-08-29T13:40:00+05:30	1387.7	1388.0	1387.4	1387.8	29082	0
2025-08-29T13:39:00+05:30	1387.9	1388.0	1387.4	1387.6	11696	0
2025-08-29T13:38:00+05:30	1387.7	1388.0	1387.2	1388.0	32623	0
2025-08-29T13:37:00+05:30	1387.6	1388.0	1387.2	1387.7	45925	0
2025-08-29T13:36:00+05:30	1387.7	1388.0	1387.4	1387.5	17439	0
2025-08-29T13:35:00+05:30	1387.6	1388.0	1387.0	1387.7	35847	0
2025-08-29T13:34:00+05:30	1387.4	1387.7	1387.4	1387.6	22267	0
2025-08-29T13:33:00+05:30	1387.5	1387.5	1387.2	1387.4	17419	0
2025-08-29T13:32:00+05:30	1387.5	1387.5	1386.9	1387.5	14040	0
2025-08-29T13:31:00+05:30	1386.9	1387.5	1386.8	1387.5	25446	0
2025-08-29T13:30:00+05:30	1387.0	1387.0	1386.7	1387.0	10347	0
2025-08-29T13:29:00+05:30	1386.6	1387.0	1386.5	1387.0	10973	0
2025-08-29T13:28:00+05:30	1386.0	1386.6	1386.0	1386.6	6941	0
2025-08-29T13:27:00+05:30	1386.3	1386.3	1385.4	1385.8	17673	0
2025-08-29T13:26:00+05:30	1386.1	1386.5	1386.0	1386.3	5580	0
2025-08-29T13:25:00+05:30	1386.6	1386.6	1386.0	1386.1	9448	0
2025-08-29T13:24:00+05:30	1386.4	1386.6	1386.0	1386.6	50002	0
2025-08-29T13:23:00+05:30	1386.8	1387.0	1386.3	1386.3	23582	0
2025-08-29T13:22:00+05:30	1386.8	1387.0	1386.0	1386.9	28821	0
